corpus,side,word,happiness,std,rank_in_corpus
twitter,top_positive,celebrating,8.0,1.1429,2550
twitter,top_positive,congratulations,8.0,1.6288,2246
twitter,top_positive,holidays,7.96,1.261,1204
twitter,top_positive,hahaha,7.94,1.5572,428
twitter,top_positive,delicious,7.92,1.2591,1565
twitter,top_positive,hahahaha,7.86,1.7025,1341
twitter,top_positive,enjoying,7.84,1.5032,875
twitter,top_positive,hugs,7.8,1.4428,1868
twitter,top_positive,fantastic,7.78,1.0934,1354
twitter,top_positive,funniest,7.76,1.5592,3451
twitter,bottom_negative,earthquake,1.9,1.1995,2733
twitter,bottom_negative,depressing,1.9,1.2164,3838
twitter,bottom_negative,headache,1.98,1.1156,959
twitter,bottom_negative,racist,2.08,1.3529,4506
twitter,bottom_negative,tsunami,2.18,1.3354,4890
twitter,bottom_negative,depressed,2.18,1.7922,2557
twitter,bottom_negative,horrible,2.24,1.4786,1580
twitter,bottom_negative,sadly,2.28,1.4714,3094
twitter,bottom_negative,theft,2.3,1.374,4869
twitter,bottom_negative,flu,2.4,1.1249,1382
google,top_positive,splendid,7.86,1.457,4763
google,top_positive,honour,7.7,1.2495,2713
google,top_positive,mother's,7.66,1.2875,3434
google,top_positive,forests,7.45,1.332,4405
google,top_positive,favorable,7.36,1.5086,4193
google,top_positive,intelligent,7.35,1.5504,3750
google,top_positive,liberation,7.35,1.3039,4497
google,top_positive,fruits,7.31,1.5303,4170
google,top_positive,prosperity,7.3,1.5286,4090
google,top_positive,educated,7.29,1.307,3270
google,bottom_negative,tumors,1.98,1.3461,4876
google,bottom_negative,punishment,2.0,1.3401,2750
google,bottom_negative,slavery,2.02,1.5842,2876
google,bottom_negative,rejection,2.02,1.3268,4994
google,bottom_negative,tumor,2.53,2.0011,3646
google,bottom_negative,infections,2.59,1.914,4912
google,bottom_negative,distress,2.7,1.4178,4420
google,bottom_negative,neglect,2.76,2.175,4444
google,bottom_negative,neglected,2.84,1.7538,4450
google,bottom_negative,unfortunate,2.94,1.4636,4669
nyt,top_positive,grandmother,7.64,1.3516,505
nyt,top_positive,victories,7.58,1.7623,4210
nyt,top_positive,succeeding,7.58,1.3415,4446
nyt,top_positive,peacefully,7.52,1.0544,1718
nyt,top_positive,saturdays,7.52,1.729,2051
nyt,top_positive,optimistic,7.5,1.3132,4110
nyt,top_positive,loyal,7.46,1.2488,3925
nyt,top_positive,adored,7.42,1.4441,1326
nyt,top_positive,grandchildren,7.42,1.5131,293
nyt,top_positive,awarded,7.38,1.1586,2556
nyt,bottom_negative,terrorism,1.48,0.9089,3192
nyt,bottom_negative,deaths,1.64,1.1386,2974
nyt,bottom_negative,killings,1.8,1.5386,4914
nyt,bottom_negative,bankruptcy,2.06,1.596,2287
nyt,bottom_negative,robbery,2.08,1.3223,4878
nyt,bottom_negative,holocaust,2.22,1.7876,3839
nyt,bottom_negative,bombing,2.24,1.4786,3046
nyt,bottom_negative,graveside,2.38,1.4693,2702
nyt,bottom_negative,saddened,2.44,1.2803,3439
nyt,bottom_negative,burial,2.44,1.9183,1346
lyrics,top_positive,rainbows,8.06,1.3603,4216
lyrics,top_positive,kissing,7.94,1.1323,2052
lyrics,top_positive,sweetest,7.92,1.2911,2232
lyrics,top_positive,butterflies,7.92,1.077,4175
lyrics,top_positive,sunlight,7.88,1.4934,2316
lyrics,top_positive,sweetness,7.88,1.1891,4465
lyrics,top_positive,kissed,7.84,1.5048,1322
lyrics,top_positive,attraction,7.82,1.024,4179
lyrics,top_positive,honesty,7.76,1.2707,3653
lyrics,top_positive,diamonds,7.68,1.4769,1457
lyrics,bottom_negative,raped,1.64,1.4251,4528
lyrics,bottom_negative,murdered,1.8,1.6288,4796
lyrics,bottom_negative,tortured,1.82,1.4241,4693
lyrics,bottom_negative,abused,1.83,1.3101,4589
lyrics,bottom_negative,killers,2.0,1.5253,3303
lyrics,bottom_negative,motherfucker,2.02,1.6597,1116
lyrics,bottom_negative,heartbreak,2.11,1.3061,3609
lyrics,bottom_negative,drowned,2.16,1.5954,3918
lyrics,bottom_negative,agony,2.16,1.8775,3566
lyrics,bottom_negative,robbed,2.18,1.4241,4713
